"","year","state_code","less_than_high_school","high_school_graduate_ged_or_alternative_credential","some_college_associate_degree","bachelors_degree_or_higher"
"393",2013,13,489,0,1801,3980
"394",2013,15,0,0,93,333
"395",2013,16,0,0,0,102
"396",2013,17,92,0,160,1828
"397",2013,18,0,0,229,908
"398",2013,19,0,0,0,437
"399",2013,20,0,0,140,707
"400",2013,21,0,0,0,243
"401",2013,22,527,0,84,405
"402",2013,23,0,0,0,0
"403",2013,24,467,0,1510,2229
"404",2013,25,10600,0,11173,9566
"405",2013,26,120,0,288,1320
"406",2013,27,0,0,382,834
"407",2013,29,0,0,400,604
"408",2013,30,194,0,0,0
"409",2013,31,0,0,0,279
"410",2013,32,51,0,294,649
"411",2013,33,0,0,182,670
"412",2013,34,4991,0,6564,4511
"413",2013,35,0,0,251,104
"414",2013,36,3300,0,4427,11698
"415",2013,37,525,0,1361,839
"416",2013,38,0,0,55,0
"417",2013,39,389,0,562,1371
"418",2013,40,0,0,114,165
"419",2013,41,312,0,305,1373
"420",2013,42,891,0,1033,2094
"421",2013,44,93,0,50,381
"422",2013,45,82,0,883,792
"423",2013,47,0,0,266,498
"424",2013,48,847,0,3015,7554
"425",2013,49,294,0,635,1954
"426",2013,50,0,0,0,309
"427",2013,51,123,0,1879,1986
"428",2013,53,0,0,1097,3020
"429",2013,54,0,0,0,216
"430",2013,55,46,0,286,508
"431",2013,56,0,0,20,0
"432",2014,1,0,79,277,565
"433",2014,2,0,0,59,64
"434",2014,4,64,218,579,1175
"435",2014,5,0,179,288,177
"436",2014,6,1588,2643,7313,17633
"437",2014,8,64,254,480,837
"438",2014,9,3166,4648,2698,2151
"439",2014,10,0,0,56,0
"440",2014,11,0,59,0,814
"441",2014,12,4705,17604,10490,23202
"442",2014,13,477,1565,1345,2583
"443",2014,15,0,127,282,57
"444",2014,16,44,0,63,0
"445",2014,17,0,49,1386,2194
"446",2014,18,0,87,109,465
"447",2014,19,0,0,0,397
"448",2014,20,0,0,258,214
"449",2014,21,0,0,0,149
"450",2014,22,753,391,1562,716
"451",2014,23,0,0,0,180
"452",2014,24,439,1104,1050,2597
"453",2014,25,8661,26031,9656,6134
"454",2014,26,143,451,1239,2724
"455",2014,27,321,156,713,1425
"456",2014,28,0,0,0,597
"457",2014,29,0,0,411,1078
"458",2014,31,0,0,0,0
"459",2014,32,708,288,604,1207
"460",2014,33,409,1188,470,832
"461",2014,34,4757,11963,4267,5395
"462",2014,35,0,158,754,139
"463",2014,36,1390,5003,2722,8929
"464",2014,37,593,877,1788,1373
"465",2014,38,0,0,391,0
"466",2014,39,224,166,1251,1641
"467",2014,40,115,92,131,0
"468",2014,41,58,141,136,626
"469",2014,42,2936,4887,1024,1767
"470",2014,44,0,197,86,1121
"471",2014,45,109,826,374,732
"472",2014,46,0,0,0,255
"473",2014,47,0,133,62,1162
"474",2014,48,297,1565,3405,7580
"475",2014,49,100,248,524,881
"476",2014,51,146,252,1351,2025
"477",2014,53,0,0,1161,822
"478",2014,54,0,166,104,0
"479",2014,55,0,33,170,439
"480",2014,56,0,0,0,76
"481",2015,1,0,0,222,299
"482",2015,2,0,0,44,0
"483",2015,4,98,267,267,506
"484",2015,5,0,0,0,0
"485",2015,6,1699,3817,7091,17468
"486",2015,8,74,328,122,1522
"487",2015,9,3797,5048,2363,2896
"488",2015,10,0,173,116,289
"489",2015,11,0,0,0,456
"490",2015,12,6414,18031,15823,24591
"491",2015,13,511,3186,2908,3096
"492",2015,15,27,132,542,485
"493",2015,16,0,0,86,154
"494",2015,17,276,753,765,3162
"495",2015,18,0,499,91,1414
