"","year","state_code","accommodation_and_food_services_and_arts_entertainment_and_recreation","construction","education","finance_insurance_and_real_estate","health_care_social_assistance","information","manufacturing","other_services","professional_scientific_management_and_administrative_services","public_administration","retail","transportation_warehousing_utilities_natural_resources","wholesale_trade","other"
"188",2008,55,36,0,178,210,198,0,192,0,119,0,0,0,0,0
"189",2009,1,0,0,148,0,0,0,0,58,0,0,150,0,0,0
"190",2009,2,0,48,0,0,0,0,0,0,0,88,0,48,0,0
"191",2009,4,0,0,183,61,70,86,0,82,246,0,0,83,0,0
"192",2009,5,0,0,99,0,0,0,0,0,0,0,0,0,0,0
"193",2009,6,2831,629,1920,1466,1755,1056,2150,2753,3211,340,1196,425,732,489
"194",2009,8,734,318,0,304,0,82,184,143,426,0,69,0,0,0
"195",2009,9,475,2923,383,394,460,22,1342,2339,2733,221,452,572,191,99
"196",2009,11,0,0,0,249,0,0,0,97,0,416,0,0,0,0
"197",2009,12,7165,8831,2250,5073,4658,895,2891,5019,9682,758,5475,3031,2342,553
"198",2009,13,0,1679,146,743,569,163,695,2037,1775,468,404,1801,132,0
"199",2009,15,267,82,102,0,142,0,213,157,0,0,0,0,0,0
"200",2009,16,0,0,0,0,0,0,112,0,0,0,98,0,0,0
"201",2009,17,115,82,217,0,632,0,187,192,218,0,826,255,65,92
"202",2009,18,0,0,210,0,213,0,0,128,134,0,262,156,0,0
"203",2009,19,0,0,0,0,0,0,115,0,234,0,0,0,0,0
"204",2009,20,0,0,131,0,230,0,0,94,156,0,350,0,0,0
"205",2009,21,562,0,229,0,0,0,0,111,23,0,108,0,0,0
"206",2009,22,0,1895,206,0,116,0,0,465,236,0,0,0,0,0
"207",2009,23,98,0,0,0,0,0,0,0,130,0,0,0,0,0
"208",2009,24,333,1412,566,568,64,86,84,1781,809,653,580,0,0,0
"209",2009,25,10336,8616,1710,1280,3024,430,5216,11068,14007,257,3106,927,1363,171
"210",2009,26,0,0,514,448,0,0,276,22,154,0,199,0,97,0
"211",2009,27,157,143,117,0,498,123,118,0,514,0,278,0,0,0
"212",2009,28,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"213",2009,29,280,0,474,100,131,0,43,0,0,0,77,0,0,0
"214",2009,30,0,0,0,0,50,0,0,0,0,0,0,0,0,0
"215",2009,31,0,0,0,0,29,65,0,53,496,149,60,0,0,0
"216",2009,32,345,61,56,257,0,0,0,205,122,0,70,81,0,41
"217",2009,33,1373,348,92,0,81,0,218,372,1561,0,114,0,0,0
"218",2009,34,785,6170,332,599,1509,960,1514,7933,3018,86,2512,2035,1218,178
"219",2009,35,0,0,321,0,0,0,0,0,0,0,0,0,0,0
"220",2009,36,2031,2147,1718,1583,1476,243,1184,3879,1864,158,3353,966,240,0
"221",2009,37,266,378,356,0,658,62,91,211,1686,66,75,0,0,0
"222",2009,39,215,0,270,0,80,85,286,0,699,0,0,211,0,0
"223",2009,40,0,0,85,0,0,0,0,0,0,0,86,0,0,0
"224",2009,41,0,0,0,0,79,0,296,92,0,98,0,0,103,0
"225",2009,42,430,1677,227,73,190,63,698,1571,1415,0,62,79,57,903
"226",2009,44,233,66,164,0,0,0,0,74,0,0,116,0,0,0
"227",2009,45,53,780,0,0,23,0,699,0,0,90,407,0,0,0
"228",2009,46,0,0,49,0,0,0,0,0,0,0,0,0,0,0
"229",2009,47,72,0,180,0,0,97,100,0,0,0,186,0,0,0
"230",2009,48,1912,195,1279,379,1712,242,1218,1222,2500,101,1372,404,256,0
"231",2009,49,373,0,60,79,594,0,253,85,85,0,243,88,0,0
"232",2009,50,42,0,0,0,0,0,0,0,0,0,0,0,0,0
"233",2009,51,99,784,660,81,389,137,238,520,1206,318,64,203,106,0
"234",2009,53,0,486,293,0,0,476,700,446,590,0,181,0,0,212
"235",2009,54,135,0,0,0,0,0,0,0,145,0,0,0,0,0
"236",2009,55,297,0,50,0,0,0,0,0,0,0,118,0,0,0
"237",2010,1,283,365,206,296,0,65,0,284,426,0,0,91,0,0
"238",2010,2,0,0,0,0,0,0,0,0,99,0,0,0,0,0
"239",2010,4,72,0,131,192,359,86,141,55,48,74,95,0,75,79
"240",2010,5,0,0,182,0,0,0,112,0,234,0,0,0,0,0
"241",2010,6,4374,300,2168,1730,3188,673,1004,2078,3566,666,2653,1561,416,183
"242",2010,8,159,62,82,71,0,0,475,78,155,0,142,161,0,0
"243",2010,9,1366,3274,565,487,701,0,2330,2201,3133,236,557,75,244,409
"244",2010,10,0,0,96,70,260,0,0,111,0,0,0,73,0,0
"245",2010,11,69,0,0,0,0,0,0,225,208,111,0,81,0,0
"246",2010,12,7514,9316,2472,3509,3707,643,2496,6758,9629,710,2715,1851,1834,357
"247",2010,13,479,2150,241,425,266,0,490,1696,2169,179,146,80,314,69
"248",2010,15,703,37,0,147,0,0,82,0,0,0,47,0,0,0
"249",2010,16,0,0,0,0,0,91,227,0,50,0,0,0,0,0
"250",2010,17,106,0,334,0,705,96,796,71,379,0,405,61,261,97
"251",2010,18,0,0,97,0,108,0,0,0,109,0,80,0,0,0
"252",2010,19,0,0,0,0,0,0,0,0,278,0,101,0,0,0
"253",2010,20,0,141,0,0,0,0,0,123,0,224,0,0,0,0
"254",2010,21,0,0,69,0,71,0,206,0,485,0,0,0,0,0
"255",2010,22,696,430,481,0,0,0,0,0,253,0,0,0,121,230
"256",2010,23,84,0,0,0,405,0,139,0,0,0,0,0,0,0
"257",2010,24,418,507,679,275,838,0,0,875,676,1166,0,0,81,61
"258",2010,25,11243,12158,1783,1601,4674,301,3613,10288,12701,582,3963,869,952,264
"259",2010,26,300,0,514,107,133,115,422,0,510,57,934,0,0,0
"260",2010,27,224,0,276,114,296,0,40,111,451,0,0,135,0,0
"261",2010,28,0,0,0,129,0,0,0,0,0,0,0,0,0,0
"262",2010,29,66,0,0,0,395,170,337,0,124,85,0,0,72,0
"263",2010,30,0,0,0,0,266,0,0,0,0,0,0,0,0,0
"264",2010,31,0,0,107,0,0,0,0,0,0,0,0,0,0,0
"265",2010,32,0,0,191,0,0,0,0,242,322,0,154,0,0,0
"266",2010,33,313,52,0,0,0,0,190,0,0,0,0,0,0,0
"267",2010,34,2012,5735,690,733,1583,356,1240,4408,4608,384,2108,966,827,798
"268",2010,35,198,0,170,72,0,0,0,68,0,58,0,0,0,0
"269",2010,36,2875,2235,1164,2502,1798,434,659,2125,1914,243,912,382,472,172
"270",2010,37,72,554,589,0,94,0,178,614,696,0,77,54,0,0
"271",2010,39,102,38,0,72,204,86,127,65,0,185,444,0,0,0
"272",2010,40,0,0,0,71,81,0,75,116,127,0,0,0,0,0
"273",2010,41,83,0,0,0,0,0,91,0,0,106,0,0,0,0
"274",2010,42,191,1049,78,146,317,114,1006,850,1625,0,203,52,98,168
"275",2010,44,0,79,343,0,156,0,134,262,235,0,66,0,0,0
"276",2010,45,297,727,88,0,123,66,0,74,263,0,331,0,86,176
"277",2010,47,0,0,169,63,169,0,0,312,89,0,0,89,0,0
"278",2010,48,1875,94,1107,405,801,214,769,1050,1828,148,1156,671,0,432
"279",2010,49,723,480,357,230,231,59,578,282,291,0,124,66,0,0
"280",2010,50,0,0,0,0,0,0,0,0,196,84,0,0,0,0
"281",2010,51,444,0,262,96,141,239,0,89,430,550,163,143,103,0
"282",2010,53,298,0,160,0,174,36,573,221,540,0,256,279,0,0
"283",2010,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"284",2010,55,176,144,363,260,109,0,0,0,315,24,0,0,0,0
"285",2011,1,448,0,126,0,375,0,229,337,0,0,14,0,0,0
"286",2011,4,0,0,98,0,500,0,125,0,0,50,78,0,0,0
"287",2011,5,21,0,46,0,0,0,0,0,0,144,78,0,0,0
"288",2011,6,2716,444,1882,0,3705,479,1407,2316,0,627,2225,0,838,55
"289",2011,8,171,0,268,0,277,85,57,0,0,245,94,0,0,0
"290",2011,9,408,2033,565,0,443,156,509,1829,0,33,685,0,0,0
"291",2011,10,0,0,0,0,669,0,0,0,0,0,0,0,0,0
"292",2011,11,296,0,0,0,0,0,0,194,0,310,0,0,0,0
"293",2011,12,4753,5916,2176,0,4669,957,2586,6937,0,692,5663,0,3473,424
"294",2011,13,223,969,256,0,326,97,737,1483,0,0,0,0,0,100
"295",2011,15,44,0,409,0,0,0,0,0,0,170,224,0,0,0
"296",2011,16,0,0,0,0,0,0,0,79,0,0,0,0,0,0
"297",2011,17,543,0,499,0,321,83,314,0,0,0,93,0,111,0
"298",2011,18,0,0,624,0,322,0,100,0,0,0,61,0,236,0
"299",2011,19,0,0,131,0,0,0,0,0,0,0,0,0,0,0
"300",2011,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"301",2011,21,0,0,0,0,0,0,86,0,0,0,151,0,0,0
"302",2011,22,51,148,0,0,0,0,132,0,0,0,0,0,0,0
"303",2011,23,129,0,0,0,76,0,0,0,0,0,0,0,0,0
"304",2011,24,260,2097,499,0,561,0,0,1433,0,435,764,0,0,0
"305",2011,25,11089,8763,1436,0,3706,1158,2710,10482,0,357,3218,0,463,1269
"306",2011,26,257,0,228,0,205,0,623,0,0,65,330,0,0,0
"307",2011,27,105,707,603,0,732,0,0,477,0,0,0,0,0,0
"308",2011,28,91,0,152,0,0,0,0,29,0,0,0,0,0,0
"309",2011,29,1730,0,0,0,0,0,118,56,0,0,48,0,0,0
"310",2011,30,0,0,0,0,0,0,0,36,0,0,72,0,0,0
"311",2011,31,0,0,0,0,0,0,0,0,0,0,55,0,0,0
"312",2011,32,512,0,32,0,204,0,0,146,0,0,0,0,0,0
"313",2011,33,492,0,62,0,54,0,639,0,0,0,0,0,0,0
"314",2011,34,2199,4127,763,0,1334,91,2109,5219,0,273,1788,0,519,796
"315",2011,35,0,0,105,0,0,0,0,0,0,0,0,0,0,0
"316",2011,36,2224,1907,1172,0,2129,376,539,2734,0,183,1279,0,371,0
"317",2011,37,270,306,175,0,137,57,572,317,0,0,425,0,24,69
"318",2011,39,0,0,10,0,128,0,70,63,0,0,0,0,0,0
"319",2011,40,178,0,183,0,139,0,160,322,0,0,0,0,0,0
"320",2011,41,0,0,0,0,71,0,139,0,0,0,0,0,0,0
"321",2011,42,882,1825,624,0,603,214,492,2236,0,0,248,0,230,0
"322",2011,44,429,310,94,0,314,0,220,346,0,0,385,0,0,260
"323",2011,45,0,222,0,0,66,0,99,776,0,82,0,0,0,0
"324",2011,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"325",2011,47,182,0,559,0,82,0,201,0,0,0,100,0,0,0
"326",2011,48,285,282,1127,0,429,308,1291,955,0,391,283,0,704,0
"327",2011,49,0,0,83,0,478,171,90,119,0,0,13,0,0,0
"328",2011,50,649,0,0,0,0,0,0,0,0,0,0,0,0,0
"329",2011,51,566,491,240,0,293,0,170,841,0,445,151,0,72,0
"330",2011,53,174,298,110,0,882,86,0,0,0,64,108,0,0,0
"331",2011,54,0,0,0,0,0,0,0,219,0,131,0,0,0,0
"332",2011,55,279,0,0,0,0,0,0,0,0,0,0,0,0,85
"333",2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334",2012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"335",2012,4,861,0,132,0,116,0,120,46,0,0,0,0,211,43
"336",2012,5,0,0,0,0,124,0,0,0,0,0,0,0,0,0
"337",2012,6,4147,630,2355,0,4053,1765,2054,3043,0,1039,2224,0,546,170
"338",2012,8,566,0,315,0,250,0,376,176,0,0,0,0,0,0
"339",2012,9,873,2027,412,0,842,412,355,4568,0,63,763,0,55,0
"340",2012,10,0,115,64,0,0,0,0,150,0,0,0,0,0,0
"341",2012,11,521,0,0,0,66,0,0,113,0,148,0,0,51,0
"342",2012,12,5505,3661,3324,0,2851,240,1805,6161,0,861,5384,0,3377,827
"343",2012,13,470,1046,460,0,416,480,411,727,0,0,1020,0,0,356
"344",2012,15,346,0,176,0,0,0,162,0,0,0,48,0,54,0
"345",2012,16,66,0,0,0,130,0,0,0,0,0,0,0,0,0
"346",2012,17,741,0,361,0,543,0,740,350,0,0,154,0,110,389
"347",2012,18,174,0,436,0,0,0,355,0,0,0,322,0,0,0
"348",2012,19,0,0,506,0,0,628,0,0,0,0,0,0,0,0
"349",2012,20,0,0,0,0,88,0,91,0,0,0,0,0,0,0
"350",2012,21,72,0,0,0,0,0,0,0,0,0,72,0,0,0
"351",2012,22,162,1210,0,0,0,0,0,0,0,0,13,0,36,0
"352",2012,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"353",2012,24,157,351,541,0,696,189,437,1186,0,880,62,0,0,0
"354",2012,25,8210,7744,1899,0,4280,737,1552,6426,0,598,2887,0,728,780
"355",2012,26,36,0,536,0,243,201,488,0,0,176,592,0,50,0
"356",2012,27,0,0,0,0,294,0,185,134,0,23,0,0,0,0
"357",2012,28,0,0,0,0,68,0,0,0,0,0,52,0,0,0
"358",2012,29,120,0,118,0,0,0,72,91,0,0,0,0,0,0
"359",2012,31,0,0,227,0,132,0,0,0,0,0,129,0,0,0
"360",2012,32,898,124,0,0,0,0,0,174,0,0,64,0,0,0
"361",2012,33,424,196,0,0,47,0,222,221,0,0,45,0,0,0
