"","year","state_code","age_0_to_4","age_05_to_09","age_10_to_19","age_20_to_24","age_25_to_29","age_30_to_34","age_35_to_39","age_40_to_44","age_45_to_49","age_50_to_54","age_55_to_59","age_60_to_64","age_65_to_69","age_70_to_74","age_75_to_79","age_80_to_84","age_85_plus"
"211",2009,27,0,0,0,540,313,514,278,182,180,117,92,0,0,0,0,0,27
"212",2009,28,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
"213",2009,29,0,122,119,280,279,198,231,0,76,77,0,0,0,0,0,0,0
"214",2009,30,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"215",2009,31,0,0,0,407,0,222,29,79,0,0,115,0,0,0,0,0,0
"216",2009,32,0,0,89,0,81,302,189,77,128,128,116,70,125,0,0,0,0
"217",2009,33,0,392,270,953,372,488,81,573,902,874,0,0,0,129,0,0,0
"218",2009,34,0,155,1560,3424,4206,6322,5193,5017,2867,1191,2492,1057,265,213,149,221,0
"219",2009,35,0,0,0,223,0,0,0,0,47,51,0,0,0,0,0,0,0
"220",2009,36,79,398,1278,3596,2630,3041,3438,2270,3924,1091,1559,723,796,351,14,239,0
"221",2009,37,63,489,180,304,679,1029,1126,218,282,270,154,0,330,62,0,77,0
"222",2009,39,0,161,292,289,189,0,1103,340,152,85,147,0,0,0,82,0,0
"223",2009,40,0,0,0,86,0,0,0,0,0,85,71,0,0,0,0,0,0
"224",2009,41,0,0,0,0,0,111,0,192,79,92,206,91,121,0,0,0,0
"225",2009,42,163,0,910,1218,1662,1719,1608,247,417,915,63,0,0,87,82,0,0
"226",2009,44,0,0,61,0,0,190,66,0,0,233,164,0,0,0,0,0,0
"227",2009,45,0,0,89,90,553,476,37,23,517,303,0,0,0,0,53,0,0
"228",2009,46,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
"229",2009,47,0,0,0,0,370,61,85,0,0,119,0,0,0,0,53,0,0
"230",2009,48,190,168,1442,1053,2362,2385,1608,1557,1963,1037,615,209,386,99,0,0,0
