"","year","state_code","management_professional","services","sales_and_office","construction_and_extracion","maintenance_and_repair","production_transportation_and_material_moving","educational_instruction_and_library_occupations","arts_design_entertainment_sports_and_media_occupations","healthcare_practitioner_and_technical_occupations","other_2"
"263",2010,30,0,0,266,0,0,0,0,0,0,0
"264",2010,31,0,0,0,0,0,0,107,0,0,0
"265",2010,32,644,242,73,191,0,81,191,0,0,0
"266",2010,33,52,339,0,0,0,0,0,164,0,0
"267",2010,34,9252,9513,3412,5057,356,3438,402,472,68,798
"268",2010,35,214,153,72,0,0,0,170,0,0,0
"269",2010,36,8517,5402,2411,1053,275,949,668,1250,1442,172
"270",2010,37,2252,1322,77,554,52,62,420,160,0,0
"271",2010,39,1812,201,444,38,0,0,0,0,68,0
"272",2010,40,63,116,71,0,0,202,0,0,81,0
"273",2010,41,472,106,83,0,0,0,0,0,0,0
"274",2010,42,3832,2121,857,951,118,330,0,375,120,168
"275",2010,44,424,298,222,79,60,63,140,0,68,0
"276",2010,45,720,680,811,406,0,0,88,0,0,176
"277",2010,47,272,312,63,0,0,0,169,0,169,0
"278",2010,48,5363,3578,1704,120,94,395,1116,351,588,432
"279",2010,49,1911,663,816,361,124,71,70,287,103,0
"280",2010,50,84,196,0,0,0,0,0,0,0,0
"281",2010,51,949,393,1093,0,89,76,175,178,69,0
"282",2010,53,1955,499,292,0,0,350,0,36,142,0
"283",2010,54,124,0,0,0,0,0,0,0,0,0
"284",2010,55,674,109,452,0,0,0,174,220,0,0
"285",2011,1,0,785,119,0,0,23,0,0,375,0
"286",2011,4,0,428,423,0,0,0,0,0,233,0
"287",2011,5,0,21,78,0,0,0,0,46,0,144
"288",2011,6,0,7184,4858,444,0,505,0,574,1565,145
"289",2011,8,0,171,277,0,0,57,0,0,0,0
"290",2011,9,0,4460,858,2033,0,753,0,248,0,0
"291",2011,10,0,0,0,0,0,0,0,0,669,0
"292",2011,11,0,340,108,0,0,0,0,102,48,0
"293",2011,12,0,12403,12511,4205,0,6394,0,1152,2809,424
"294",2011,13,0,2841,352,860,0,1655,0,0,148,100
"295",2011,15,0,259,0,0,0,0,0,142,53,0
"296",2011,16,0,0,79,0,0,0,0,0,0,0
"297",2011,17,0,710,367,0,0,314,0,107,241,0
"298",2011,18,0,79,435,0,0,236,0,0,72,77
"299",2011,19,0,131,0,0,0,0,0,0,0,0
"300",2011,20,0,0,0,0,0,0,0,0,0,0
"301",2011,21,0,0,86,0,0,0,0,0,15,0
"302",2011,22,0,51,132,148,0,106,0,0,0,0
"303",2011,23,0,90,76,0,0,0,0,0,0,0
"304",2011,24,0,2796,1416,1625,0,162,0,52,44,0
"305",2011,25,0,27664,5727,8428,0,4348,0,492,1302,1269
"306",2011,26,0,450,438,0,0,155,0,0,65,0
"307",2011,27,0,189,0,523,0,0,0,0,181,0
"308",2011,28,0,120,0,0,0,0,0,0,0,0
"309",2011,29,0,1721,140,0,0,0,0,197,0,0
"310",2011,30,0,0,72,0,0,36,0,0,0,0
"311",2011,31,0,0,55,0,0,0,0,0,0,0
"312",2011,32,0,670,0,0,0,94,0,199,0,0
"313",2011,33,0,1274,133,0,0,373,0,0,0,0
"314",2011,34,0,8494,3897,3716,0,3707,0,93,269,796
"315",2011,35,0,0,0,0,0,0,0,0,0,0
"316",2011,36,0,6980,3093,1743,0,769,0,1760,464,0
"317",2011,37,0,689,466,306,0,45,0,317,0,69
"318",2011,39,0,191,114,0,0,0,0,116,0,0
"319",2011,40,0,461,178,0,0,74,0,0,0,0
"320",2011,41,0,175,104,0,0,0,0,0,0,0
"321",2011,42,0,3903,637,1825,0,389,0,217,86,0
"322",2011,44,0,1419,73,310,0,403,0,0,94,260
"323",2011,45,0,193,323,222,0,305,0,0,66,0
"324",2011,46,0,0,0,0,0,0,0,0,0,0
"325",2011,47,0,87,393,0,0,0,0,0,82,0
"326",2011,48,0,1142,1999,0,0,530,0,515,84,77
"327",2011,49,0,193,229,0,0,90,0,0,0,0
"328",2011,50,0,0,0,0,0,376,0,0,0,0
"329",2011,51,0,1392,695,491,0,180,0,150,11,0
"330",2011,53,0,750,164,298,0,0,0,98,0,0
"331",2011,54,0,219,131,0,0,0,0,0,0,0
"332",2011,55,0,279,0,0,0,0,0,0,0,85
